"ASX code","Company name","GICs industry group","Listing date","Market Cap"
"BNL","BLUE STAR HELIUM LIMITED","Energy","24/11/1994",33309571
"BNO","BIONOMICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","21/12/1999",24968502
"BNR","BULLETIN RESOURCES LIMITED","Materials","20/12/2010",17909057
"BNZ","BENZ MINING CORP.","Materials","23/12/2020",82181781
"BOA","BOADICEA RESOURCES LIMITED","Materials","11/10/2012",4478775
"BOC","BOUGAINVILLE COPPER LIMITED","Materials","31/12/1970",160425000
"BOD","BOD SCIENCE LIMITED","Consumer Discretionary Distribution & Retail","27/10/2016",9952897
"BOE","BOSS ENERGY LTD","Energy","25/07/2007",1100046049
"BOL","BOOM LOGISTICS LIMITED","Capital Goods","14/10/2003",49194034
"BOQ","BANK OF QUEENSLAND LIMITED.","Banks","24/08/1971",3502968907
"BOT","BOTANIX PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","24/01/1985",137721635
"BP8","BPH GLOBAL LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/06/2000",3854189
"BPH","BPH ENERGY LTD","Financial Services","06/08/2004",17209357
"BPM","BPM MINERALS LIMITED","Materials","30/12/2020",5343749
"BPP","BABYLON PUMP & POWER LIMITED","Capital Goods","13/12/1996",14746628
"BPT","BEACH ENERGY LIMITED","Energy","30/06/1972",3034173762
"BRG","BREVILLE GROUP LIMITED","Consumer Durables & Apparel","25/05/1999",2717129376
"BRI","BIG RIVER INDUSTRIES LIMITED","Materials","01/05/2017",195084947
"BRK","BROOKSIDE ENERGY LIMITED","Energy","31/10/2005",65189093
"BRL","BATHURST RESOURCES LIMITED.","Materials","21/06/2013",171267003
"BRN","BRAINCHIP HOLDINGS LTD","Software & Services","09/11/2011",594644479
"BRU","BURU ENERGY LIMITED","Energy","01/09/2008",52451791
"BRX","BELARAROX LIMITED","Materials","28/01/2022",14801805
"BSA","BSA LIMITED","Commercial & Professional Services","15/11/1999",42905388
"BSE","BASE RESOURCES LIMITED","Materials","02/10/2008",194371955
"BSL","BLUESCOPE STEEL LIMITED","Materials","15/07/2002",9267081770
"BSN","BASIN ENERGY LIMITED","Energy","04/10/2022",11778306
"BST","BEST & LESS GROUP HOLDINGS LTD","Consumer Discretionary Distribution & Retail","26/07/2021",236316663
"BSX","BLACKSTONE MINERALS LIMITED","Materials","23/01/2017",54474224
"BTC","BTC HEALTH LTD","Not Applic","29/08/2000",5918773
"BTE","BOTALA ENERGY LTD","Energy","14/07/2022",13618959
"BTH","BIGTINCAN HOLDINGS LIMITED","Software & Services","24/03/2017",291481483
"BTI","BAILADOR TECHNOLOGY INVESTMENTS LIMITED","Financial Services","21/11/2014",165150877
"BTN","BUTN LIMITED","Financial Services","06/07/2021",32943348
"BTR","BRIGHTSTAR RESOURCES LIMITED","Materials","05/12/2003",18888183
"BUB","BUBS AUSTRALIA LIMITED","Food, Beverage & Tobacco","05/10/1993",142757908
"BUD","BUDDY TECHNOLOGIES LTD","Consumer Durables & Apparel","18/12/2006","SUSPENDED"
"BUR","BURLEY MINERALS LTD","Materials","07/07/2021",20259351
"BUS","BUBALUS RESOURCES LIMITED","Materials","13/10/2022",5385880
"BUX","BUXTON RESOURCES LIMITED","Materials","23/10/2007",28260964
"BUY","BOUNTY OIL & GAS NL","Energy","05/02/2002",9593507
"BVR","BELLAVISTA RESOURCES LTD","Materials","25/05/2022",10024596
"BVS","BRAVURA SOLUTIONS LIMITED.","Software & Services","16/11/2016",208484611
"BWF","BLACKWALL LIMITED","Financial Services","21/10/2011",36101927
"BWP","BWP TRUST","Equity Real Estate Investment Trusts (REITs)","16/09/1998",2286886339
"BWX","BWX LIMITED","Household & Personal Products","11/11/2015","SUSPENDED"
"BXB","BRAMBLES LIMITED","Commercial & Professional Services","27/11/2006",19547508068
"BXN","BIOXYNE LIMITED","Household & Personal Products","14/12/2000",41836199
"BYE","BYRON ENERGY LIMITED","Energy","03/06/2005",83267423
"BYH","BRYAH RESOURCES LIMITED","Materials","17/10/2017",5124367
"C1X","COSMOS EXPLORATION LIMITED","Materials","01/12/2021",22334750
"C29","C29 METALS LIMITED","Materials","03/11/2021",3992187
"C79","CHRYSOS CORPORATION LIMITED","Commercial & Professional Services","06/05/2022",469877336
"C7A","CLARA RESOURCES AUSTRALIA LTD","Materials","21/10/2010",6153395
"CAA","CAPRAL LIMITED","Materials","20/11/1986",126716075
"CAE","CANNINDAH RESOURCES LIMITED","Materials","20/05/2005",87106893
"CAF","CENTREPOINT ALLIANCE LIMITED","Financial Services","25/06/2002",41345197
"CAG","CAPE RANGE LTD","Software & Services","30/11/2017",9490830
"CAI","CALIDUS RESOURCES LIMITED","Materials","13/03/1987",94814068
"CAJ","CAPITOL HEALTH LIMITED","Health Care Equipment & Services","09/06/2006",297786311
"CAM","CLIME CAPITAL LIMITED","Not Applic","03/02/2004",115559973
"CAN","CANN GROUP LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/05/2017",44690709
"CAQ","CAQ HOLDINGS LIMITED","Real Estate Management & Development","25/07/2005",7895649
"CAR","CARSALES.COM LIMITED.","Media & Entertainment","10/09/2009",8804262993
"CAT","CATAPULT GROUP INTERNATIONAL LTD","Technology Hardware & Equipment","19/12/2014",224533253
"CAV","CARNAVALE RESOURCES LIMITED","Materials","15/03/2007",6833879
"CAY","CANYON RESOURCES LIMITED","Materials","15/06/2010",70087889
"CAZ","CAZALY RESOURCES LIMITED","Materials","31/10/2003",14129228
"CBA","COMMONWEALTH BANK OF AUSTRALIA.","Banks","12/09/1991",165062864310
"CBE","COBRE LIMITED","Materials","31/01/2020",20083770
"CBH","COOLABAH METALS LIMITED","Materials","28/07/2022",4924000
"CBL","CONTROL BIONICS LIMITED","Health Care Equipment & Services","07/12/2020",8052633
"CBO","COBRAM ESTATE OLIVES LIMITED","Food, Beverage & Tobacco","11/08/2021",523874218
"CBR","CARBON REVOLUTION LIMITED","Automobiles & Components","29/11/2019",25458301
"CBY","CANTERBURY RESOURCES LIMITED","Materials","07/03/2019",3468565
"CCA","CHANGE FINANCIAL LIMITED","Financial Services","30/06/2016",25106455
"CCE","CARNEGIE CLEAN ENERGY LIMITED","Utilities","26/10/1993",15642574
"CCG","COMMS GROUP LTD","Telecommunication Services","21/12/2017",26322043
"CCO","THE CALMER CO INTERNATIONAL LIMITED","Household & Personal Products","20/12/2018",1779110
"CCP","CREDIT CORP GROUP LIMITED","Financial Services","04/09/2000",1291908927
"CCR","CREDIT CLEAR LIMITED","Software & Services","27/10/2020",73806657
"CCV","CASH CONVERTERS INTERNATIONAL","Financial Services","07/02/1997",138059903
"CCX","CITY CHIC COLLECTIVE LIMITED","Consumer Discretionary Distribution & Retail","28/05/1998",74201781
"CCZ","CASTILLO COPPER LIMITED","Materials","14/12/2010",10396043
"CD1","CD PRIVATE EQUITY FUND I","Not Applic","14/08/2012",29606456
"CD2","CD PRIVATE EQUITY FUND II","Not Applic","09/04/2013",63499694
"CD3","CD PRIVATE EQUITY FUND III","Not Applic","27/07/2016",107682488
"CDA","CODAN LIMITED","Technology Hardware & Equipment","27/11/2003",1337020534
"CDD","CARDNO LIMITED","Commercial & Professional Services","20/05/2004",15819569
"CDM","CADENCE CAPITAL LIMITED","Not Applic","05/12/2006",214402897
"CDO","CADENCE OPPORTUNITIES FUND LIMITED.","Not Applic","19/11/2021",28019537
"CDP","CARINDALE PROPERTY TRUST","Equity Real Estate Investment Trusts (REITs)","28/11/1996",316508806
"CDR","CODRUS MINERALS LIMITED","Materials","23/06/2021",6411550
"CDT","CASTLE MINERALS LIMITED","Materials","02/05/2006",11807176
"CDX","CARDIEX LIMITED","Health Care Equipment & Services","09/11/2005",22954483
"CE1","CALIMA ENERGY LIMITED","Energy","28/07/2006",60662326
"CEL","CHALLENGER GOLD LIMITED","Materials","07/11/2007",116637423
"CEN","CONTACT ENERGY LIMITED","Utilities","24/09/2015",5730233214
"CF1","COMPLII FINTECH SOLUTIONS LTD","Software & Services","18/12/2001",20331225
"CFO","CFOAM LIMITED","Capital Goods","26/10/2016","SUSPENDED"
"CG1","CARBONXT GROUP LIMITED","Materials","23/01/2018",20922714
"CGB","CANN GLOBAL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","14/01/2008","SUSPENDED"
"CGC","COSTA GROUP HOLDINGS LIMITED","Food, Beverage & Tobacco","24/07/2015",1268657735
"CGF","CHALLENGER LIMITED","Financial Services","23/12/2003",4325091815
"CGN","CRATER GOLD MINING LIMITED","Materials","01/11/2002","SUSPENDED"
"CGO","CPT GLOBAL LIMITED","Software & Services","08/09/2000",10474341
"CGS","COGSTATE LTD","Health Care Equipment & Services","13/02/2004",296119811
"CHC","CHARTER HALL GROUP","Equity Real Estate Investment Trusts (REITs)","10/06/2005",4975930533
"CHK","COHIBA MINERALS LIMITED","Materials","01/02/2012",6339733
"CHL","CAMPLIFY HOLDINGS LIMITED","Transportation","28/06/2021",147936067
"CHM","CHIMERIC THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","18/01/2021",18342052
"CHN","CHALICE MINING LIMITED","Materials","24/03/2006",2460898911
"CHR","CHARGER METALS NL","Materials","09/07/2021",27019750
"CHZ","CHESSER RESOURCES LIMITED","Materials","29/05/2007",63274645
"CI1","CREDIT INTELLIGENCE LTD","Commercial & Professional Services","10/07/2008",9602403
"CIA","CHAMPION IRON LIMITED","Materials","08/06/2007",3108330687
"CII","CI RESOURCES LIMITED","Materials","24/07/1987","--"
"CIN","CARLTON INVESTMENTS LIMITED","Not Applic","30/06/1970",747909569
"CIO","CONNECTED IO LIMITED","Technology Hardware & Equipment","16/08/1984","SUSPENDED"
"CIP","CENTURIA INDUSTRIAL REIT","Equity Real Estate Investment Trusts (REITs)","13/12/2012",1955586356
"CIW","CLIME INVESTMENT MANAGEMENT LTD","Financial Services","15/12/2000",28621805
"CKA","COKAL LIMITED","Materials","17/04/2000",118684388
"CKF","COLLINS FOODS LIMITED","Consumer Services","04/08/2011",922155416
"CL8","CARLY HOLDINGS LIMITED","Transportation","09/09/1996",5087408
"CLA","CELSIUS RESOURCES LIMITED.","Materials","24/03/1988",53065240
"CLB","CANDY CLUB HOLDINGS LIMITED","Consumer Staples Distribution & Retail","19/02/2019","SUSPENDED"
"CLE","CYCLONE METALS LIMITED","Materials","07/06/2001",20529010
"CLG","CLOSE THE LOOP LTD.","Commercial & Professional Services","02/12/2021",232045556
"CLT","CELLNET GROUP LIMITED","Technology Hardware & Equipment","17/11/1999",6333460
"CLU","CLUEY LTD","Consumer Services","09/12/2020",18951675
"CLV","CLOVER CORPORATION LIMITED","Materials","30/11/1999",205409189
"CLW","CHARTER HALL LONG WALE REIT","Equity Real Estate Investment Trusts (REITs)","08/11/2016",2826755872
"CLX","CTI LOGISTICS LIMITED","Transportation","02/12/1987",124864764
"CLZ","CLASSIC MINERALS LTD","Materials","24/05/2013",7013882
"CMD","CASSIUS MINING LIMITED","Materials","10/08/2006",15895302
"CMG","CRITICAL MINERALS GROUP LIMITED","Materials","27/09/2022",9477200
"CMM","CAPRICORN METALS LTD","Materials","07/07/2008",1597822244
"CMO","COSMO METALS LIMITED","Materials","31/01/2022",5460131
"CMP","COMPUMEDICS LIMITED","Health Care Equipment & Services","21/12/2000",28346072
"CMW","CROMWELL PROPERTY GROUP","Equity Real Estate Investment Trusts (REITs)","22/02/1973",1335622016
"CMX","CHEMX MATERIALS LIMITED","Materials","18/01/2022",8720544
"CNB","CARNABY RESOURCES LIMITED","Materials","30/08/2016",157871707
"CNI","CENTURIA CAPITAL GROUP","Equity Real Estate Investment Trusts (REITs)","26/03/2002",1255680967
"CNJ","CONICO LTD","Materials","18/06/2007",10990665
"CNQ","CLEAN TEQ WATER LIMITED","Commercial & Professional Services","02/07/2021",14716126
"CNU","CHORUS LIMITED","Telecommunication Services","21/11/2011",3382547573
"CNW","CIRRUS NETWORKS HOLDINGS LIMITED","Software & Services","10/02/2004",28830198
"COB","COBALT BLUE HOLDINGS LIMITED","Materials","02/02/2017",86963520
"COD","CODA MINERALS LTD","Materials","28/10/2020",31195505
"COE","COOPER ENERGY LIMITED","Energy","13/03/2002",421045002
"COF","CENTURIA OFFICE REIT","Equity Real Estate Investment Trusts (REITs)","10/12/2014",821338280
"COG","COG FINANCIAL SERVICES LIMITED","Financial Services","28/01/2003",261207215
"COH","COCHLEAR LIMITED","Health Care Equipment & Services","04/12/1995",14952867194
"COI","COMET RIDGE LIMITED","Energy","16/04/2004",166711559
"COL","COLES GROUP LIMITED.","Consumer Staples Distribution & Retail","21/11/2018",24465797242
"COO","CORUM GROUP LIMITED","Software & Services","28/07/1971",23895272
"COS","COSOL LIMITED","Software & Services","24/01/2020",106995290
"COY","COPPERMOLY LIMITED","Materials","31/01/2008",6361523
"CPM","COOPER METALS LIMITED","Materials","19/11/2021",8092989
"CPN","CASPIN RESOURCES LIMITED","Materials","25/11/2020",21134775
"CPO","CULPEO MINERALS LIMITED","Materials","10/09/2021",4650591
"CPT","CIPHERPOINT LIMITED","Software & Services","03/01/2007",7247862
"CPU","COMPUTERSHARE LIMITED.","Commercial & Professional Services","27/05/1994",13511462540
"CPV","CLEARVUE TECHNOLOGIES LIMITED","Capital Goods","25/05/2018",35833340
"CQE","CHARTER HALL SOCIAL INFRASTRUCTURE REIT","Equity Real Estate Investment Trusts (REITs)","22/05/2003",1049906122
"CQR","CHARTER HALL RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","15/11/1995",2086614296
"CR1","CONSTELLATION RESOURCES LIMITED","Materials","30/07/2018",5988651
"CR9","CORELLA RESOURCES LTD","Materials","15/01/2008",12092363
"CRB","CARBINE RESOURCES LIMITED","Materials","16/03/2007","SUSPENDED"
"CRD","CONRAD ASIA ENERGY LTD.","Energy","27/10/2022",266196313
"CRL","COMET RESOURCES LIMITED","Materials","02/03/1994","SUSPENDED"
"CRM","CARBON MINERALS LIMITED","Energy","31/12/1980","SUSPENDED"
"CRN","CORONADO GLOBAL RESOURCES INC.","Materials","23/10/2018",2523062864
"CRR","CRITICAL RESOURCES LIMITED","Materials","03/12/2010",60600685
"CRS","CAPRICE RESOURCES LTD","Materials","05/12/2018",4787034
"CSE","COPPER STRIKE LIMITED","Materials","24/11/2004","SUSPENDED"
"CSF","CATALANO SEAFOOD LTD","Food, Beverage & Tobacco","11/03/2022",3365208
"CSL","CSL LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","08/06/1994",135063393080
"CSR","CSR LIMITED","Materials","31/03/1962",2434656294
"CSS","CLEAN SEAS SEAFOOD LIMITED","Food, Beverage & Tobacco","12/12/2005",81917308
"CST","CASTILE RESOURCES LTD","Materials","14/02/2020",20077901
"CSX","CLEANSPACE HOLDINGS LIMITED","Health Care Equipment & Services","23/10/2020",14633709
"CT1","CONSTELLATION TECHNOLOGIES LIMITED","Technology Hardware & Equipment","08/10/1987",4413601
"CTD","CORPORATE TRAVEL MANAGEMENT LIMITED","Consumer Services","15/12/2010",2622157368
"CTE","CRYOSITE LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","09/05/2002",30994073
"CTM","CENTAURUS METALS LIMITED","Materials","12/01/1989",375045073
"CTN","CATALINA RESOURCES LTD","Materials","18/02/2010",3715461
"CTO","CITIGOLD CORPORATION LIMITED","Materials","23/12/1993",14368295
"CTP","CENTRAL PETROLEUM LIMITED","Energy","07/03/2006",38650804
"CTQ","CARETEQ LIMITED","Health Care Equipment & Services","10/01/2022",6178297
"CTT","CETTIRE LIMITED","Consumer Discretionary Distribution & Retail","18/12/2020",1040780341
"CTV","COLORTV LIMITED","Media & Entertainment","14/12/2017","SUSPENDED"
"CU6","CLARITY PHARMACEUTICALS LTD","Pharmaceuticals, Biotechnology & Life Sciences","25/08/2021",175851961
"CUE","CUE ENERGY RESOURCES LIMITED","Energy","11/12/1995",39094704
"CUF","CUFE LTD","Materials","13/10/2005",13525573
"CUL","CULLEN RESOURCES LIMITED","Materials","23/11/1988",4538618
"CUP","COUNT LIMITED","Commercial & Professional Services","22/12/2010",59395731
"CUS","COPPER SEARCH LIMITED","Materials","15/09/2021",25958502
"CUV","CLINUVEL PHARMACEUTICALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","13/02/2001",853316537
"CVC","CVC LIMITED","Financial Services","27/06/1985",281546067
"CVL","CIVMEC LIMITED","Capital Goods","22/06/2018",404105600
"CVN","CARNARVON ENERGY LIMITED","Energy","16/08/1984",216022428
"CVR","CAVALIER RESOURCES LIMITED","Materials","17/06/2022",5205800
"CVV","CARAVEL MINERALS LIMITED","Materials","03/11/2006",110212406
"CVW","CLEARVIEW WEALTH LIMITED","Insurance","11/12/2003",330519324
"CWP","CEDAR WOODS PROPERTIES LIMITED","Real Estate Management & Development","31/08/1994",398718194
"CWX","CARAWINE RESOURCES LIMITED","Materials","14/12/2017",20665834
"CWY","CLEANAWAY WASTE MANAGEMENT LIMITED","Commercial & Professional Services","03/05/2005",5610132637
"CXL","CALIX LIMITED","Materials","20/07/2018",692119702
"CXM","CENTREX LIMITED","Materials","19/07/2006",87565114
"CXO","CORE LITHIUM LTD","Materials","11/02/2011",1709835450
"CXU","CAULDRON ENERGY LIMITED","Energy","28/01/2005",6520981
"CXX","CRADLE RESOURCES LIMITED","Materials","16/09/2011","SUSPENDED"
"CXZ","CONNEXION TELEMATICS LTD","Software & Services","01/01/1974",19791804
"CY5","CYGNUS METALS LIMITED","Materials","15/01/2018",51393771
"CYC","CYCLOPHARM LIMITED","Health Care Equipment & Services","18/01/2007",180088946
"CYG","COVENTRY GROUP LIMITED","Capital Goods","27/01/1966",101591465
"CYL","CATALYST METALS LIMITED","Materials","26/07/2006",132874465
"CYM","CYPRIUM METALS LIMITED","Materials","26/04/1985","SUSPENDED"
"CYP","CYNATA THERAPEUTICS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","20/12/2007",20657655
"CYQ","CYCLIQ GROUP LTD","Consumer Durables & Apparel","21/11/2007",2085100
"CZN","CORAZON MINING LIMITED","Materials","30/06/2005",9765289
"CZR","CZR RESOURCES LTD","Materials","29/08/2006",45968256
"D2O","DUXTON WATER LIMITED","Utilities","16/09/2016",194615543
"DAF","DISCOVERY ALASKA LIMITED","Materials","22/09/2011",6558572
"DAL","DALAROO METALS LTD","Materials","28/09/2021",4586600
"DBF","DUXTON FARMS LTD","Food, Beverage & Tobacco","08/02/2018",54656244
"DBI","DALRYMPLE BAY INFRASTRUCTURE LIMITED","Transportation","08/12/2020",1318726034
"DBO","DIABLO RESOURCES LIMITED","Materials","12/10/2021",3725000
"DC2","DC TWO LIMITED","Software & Services","10/11/2020",2614322
"DCC","DIGITALX LIMITED","Software & Services","06/02/1989",29820762
"DCG","DECMIL GROUP LIMITED","Capital Goods","22/04/2005",22555071
"DCL","DOMACOM LIMITED","Financial Services","07/11/2016",15242562
"DCN","DACIAN GOLD LIMITED","Materials","14/11/2012",102211279
"DCX","DISCOVEX RESOURCES LIMITED","Materials","13/12/2007",6605136
"DDB","DYNAMIC GROUP HOLDINGS LIMITED","Capital Goods","06/08/2020",39693122
"DDH","DDH1 LIMITED","Materials","09/03/2021",367000479
"DDR","DICKER DATA LIMITED","Technology Hardware & Equipment","24/01/2011",1412487320
"DDT","DATADOT TECHNOLOGY LIMITED","Automobiles & Components","12/01/2005",3632858
"DEG","DE GREY MINING LIMITED","Materials","03/07/2002",2052934493
"DEL","DELOREAN CORPORATION LIMITED","Utilities","12/04/2021","SUSPENDED"
"DEM","DE.MEM LIMITED","Utilities","07/04/2017",38002502
"DES","DESOTO RESOURCES LIMITED","Materials","16/12/2022",8895000
"DEV","DEVEX RESOURCES LIMITED","Energy","03/10/2000",111233573
"DGH","DESANE GROUP HOLDINGS LIMITED","Real Estate Management & Development","04/09/1987",36000791
"DGL","DGL GROUP LIMITED","Materials","24/05/2021",196588731
"DGR","DGR GLOBAL LIMITED","Materials","21/08/2003",38616659
"DHG","DOMAIN HOLDINGS AUSTRALIA LIMITED.","Media & Entertainment","16/11/2017",2179217178
"DJW","DJERRIWARRH INVESTMENTS LIMITED","Not Applic","28/06/1995",742559001
"DKM","DUKETON MINING LIMITED","Materials","04/08/2014",40900227
"DLI","DELTA LITHIUM LIMITED","Materials","03/11/2017",460707540
"DLM","DOMINION MINERALS LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","19/03/2004",10840824
"DM1","DESERT METALS LIMITED","Materials","18/12/2020",4352465
"DMC","DESIGN MILK CO LIMITED","Media & Entertainment","24/03/1997","SUSPENDED"
"DME","DOME GOLD MINES LIMITED","Materials","22/10/2013",70642827
"DMG","DRAGON MOUNTAIN GOLD LIMITED","Materials","31/07/2007",4341388
"DMM","DMC MINING LIMITED.","Materials","22/12/2021",3290850
"DMP","DOMINO'S PIZZA ENTERPRISES LIMITED","Consumer Services","16/05/2005",3877214295
"DNA","DONACO INTERNATIONAL LIMITED","Consumer Services","23/12/2004",46944797
"DNK","DANAKALI LIMITED","Materials","17/10/2003","--"
"DOC","DOCTOR CARE ANYWHERE GROUP PLC","Health Care Equipment & Services","04/12/2020",16136641
"DOR","DORIEMUS PLC","Energy","29/09/2017","SUSPENDED"
"DOU","DOUUGH LIMITED","Telecommunication Services","15/06/2004",6887289
"DOW","DOWNER EDI LIMITED","Commercial & Professional Services","20/12/1990",2518401296
"DRA","DRA GLOBAL LIMITED","Capital Goods","09/07/2021",102339233
"DRE","DREADNOUGHT RESOURCES LTD","Materials","31/10/2006",173041867
"DRO","DRONESHIELD LIMITED","Capital Goods","22/06/2016",141102867
"DRR","DETERRA ROYALTIES LIMITED","Materials","23/10/2020",2378430482
"DRX","DIATREME RESOURCES LIMITED","Materials","22/06/2005",85784460
"DSE","DROPSUITE LIMITED","Software & Services","12/12/1985",179371944
"DSK","DUSK GROUP LIMITED","Consumer Discretionary Distribution & Retail","02/11/2020",52616346
"DTC","DAMSTRA HOLDINGS LIMITED","Software & Services","16/10/2019",17007962
"DTI","DTI GROUP LTD","Technology Hardware & Equipment","09/12/2014",6728271
"DTL","DATA#3 LIMITED","Software & Services","23/12/1997",1063642386
"DTM","DART MINING NL","Materials","10/05/2007",7063776
"DTR","DATELINE RESOURCES LIMITED","Materials","23/06/2011",22749180
"DTZ","DOTZ NANO LIMITED","Technology Hardware & Equipment","13/12/2007",106886202
"DUB","DUBBER CORPORATION LIMITED","Software & Services","30/06/2000",52623121
"DUG","DUG TECHNOLOGY LTD","Software & Services","12/08/2020",133479426
"DUI","DIVERSIFIED UNITED INVESTMENT LIMITED","Not Applic","19/12/1991",1055392026
"DUN","DUNDAS MINERALS LIMITED","Materials","10/11/2021",6200002
"DUR","DURATEC LIMITED","Capital Goods","04/11/2020",276963309
"DVL","DORSAVI LTD","Pharmaceuticals, Biotechnology & Life Sciences","11/12/2013",6638531
"DVP","DEVELOP GLOBAL LIMITED","Materials","27/04/2007",594797478
"DVR","DIVERGER LIMITED","Financial Services","02/08/2005",30516023
"DXB","DIMERIX LIMITED","Pharmaceuticals, Biotechnology & Life Sciences","04/02/1993",22105920
"DXC","DEXUS CONVENIENCE RETAIL REIT","Equity Real Estate Investment Trusts (REITs)","27/07/2017",343013842
"DXI","DEXUS INDUSTRIA REIT.","Equity Real Estate Investment Trusts (REITs)","03/12/2013",815383674
"DXN","DXN LIMITED","Software & Services","11/04/2018",1721315
"DXS","DEXUS","Equity Real Estate Investment Trusts (REITs)","06/10/2004",8195807175
"DYL","DEEP YELLOW LIMITED","Energy","19/12/1985",545575372
"DYM","DYNAMIC METALS LIMITED","Materials","16/01/2023",14940425
"E25","ELEMENT 25 LIMITED","Materials","09/11/2006",122825032
"E33","EAST 33 LIMITED..","Food, Beverage & Tobacco","29/07/2021",9343597
"E79","E79 GOLD MINES LIMITED","Materials","07/10/2021",5610064
"EAX","ENERGY ACTION LIMITED","Commercial & Professional Services","13/10/2011",4992891
"EBG","EUMUNDI GROUP LIMITED","Consumer Services","07/12/1989",50239811
"EBO","EBOS GROUP LIMITED","Health Care Equipment & Services","06/12/2013",6315263852
"EBR","EBR SYSTEMS INC.","Health Care Equipment & Services","24/11/2021",243754769
"ECF","ELANOR COMMERCIAL PROPERTY FUND","Equity Real Estate Investment Trusts (REITs)","06/12/2019",267490118
"ECG","ECARGO HOLDINGS LIMITED","Commercial & Professional Services","28/11/2014",10459250
"ECL","EXCELSIOR CAPITAL LTD","Capital Goods","22/04/1993",66687279
"ECP","ECP EMERGING GROWTH LIMITED","Not Applic","14/08/2014",18339088
"ECS","ECS BOTANICS HOLDINGS LTD","Pharmaceuticals, Biotechnology & Life Sciences","13/03/1986",26561536
"ECT","ENVIRONMENTAL CLEAN TECHNOLOGIES LIMITED.","Commercial & Professional Services","05/02/1986",17336274
"EDC","EILDON CAPITAL GROUP","Financial Services","28/02/2017",44759162
"EDE","EDEN INNOVATIONS LTD","Energy","06/06/2006",8990833
"EDU","EDU HOLDINGS LIMITED","Consumer Services","25/06/2004",28086455
"EDV","ENDEAVOUR GROUP LIMITED","Consumer Staples Distribution & Retail","24/06/2021",11086166305
"EEG","EMPIRE ENERGY GROUP LIMITED","Energy","30/08/1984",127564989
"EEL","ENRG ELEMENTS LTD","Materials","01/07/2011",10596960
"EFE","EASTERN RESOURCES LIMITED","Materials","16/05/2008",12419465
"EG1","EVERGREEN LITHIUM LIMITED","Materials","11/04/2023",65188188
"EGG","ENERO GROUP LIMITED","Media & Entertainment","30/04/2004",127686369
"EGH","EUREKA GROUP HOLDINGS LIMITED","Real Estate Management & Development","01/07/2004",135478556
"EGL","ENVIRONMENTAL GROUP LIMITED (THE)","Capital Goods","12/02/1981",73267791
"EGN","ENGENCO LIMITED","Capital Goods","14/12/2006",126260102
"EGR","ECOGRAF LIMITED","Materials","29/10/2010",60795017
"EGY","ENERGY TECHNOLOGIES LIMITED","Capital Goods","22/10/1992",12155754
"EHE","ESTIA HEALTH LIMITED","Health Care Equipment & Services","05/12/2014",751830609
"EHL","EMECO HOLDINGS LIMITED","Capital Goods","28/07/2006",332161674
"EIQ","ECHOIQ LIMITED","Software & Services","17/12/2010",76665483
"EL8","ELEVATE URANIUM LTD","Energy","23/10/1985",85403672
"ELD","ELDERS LIMITED","Food, Beverage & Tobacco","30/06/1981",962330930
"ELE","ELMORE LTD","Materials","25/02/1998",11195071
"ELS","ELSIGHT LIMITED","Technology Hardware & Equipment","08/06/2017",40586287
"ELT","ELEMENTOS LIMITED","Materials","23/12/2009",23368810
"EM2","EAGLE MOUNTAIN MINING LIMITED","Materials","16/03/2018",30191719
"EMB","EMBELTON LIMITED","Capital Goods","01/01/1974",22657499
"EMC","EVEREST METALS CORPORATION LTD","Energy","18/10/2006",19414966
"EMD","EMYRIA LIMITED","Health Care Equipment & Services","12/02/2020",38543664
"EME","ENERGY METALS LTD","Energy","09/09/2005",25161997
"EMH","EUROPEAN METALS HOLDINGS LIMITED","Materials","19/07/2012",180842362
"EML","EML PAYMENTS LIMITED","Financial Services","18/01/2006",230000239
"EMN","EURO MANGANESE INC","Materials","02/10/2018",66440422
"EMP","EMPEROR ENERGY LIMITED","Energy","05/06/1987",3226350
"EMR","EMERALD RESOURCES NL","Materials","22/07/1994",1214742415
"EMS","EASTERN METALS LIMITED","Materials","25/10/2021",3220751
"EMT","EMETALS LIMITED","Not Applic","26/10/2010",7650000
"EMU","EMU NL","Materials","27/02/2008",2900043
"EMUCA","EMU NL","Materials","27/02/2008",2900043
"EMV","EMVISION MEDICAL DEVICES LTD","Health Care Equipment & Services","13/12/2018",90381652
"ENA","ENSURANCE LTD","Insurance","23/09/2011",18031185
"ENN","ELANOR INVESTORS GROUP","Consumer Services","11/07/2014",199669478
"ENR","ENCOUNTER RESOURCES LIMITED","Materials","24/03/2006",104814332
